ID,Text,Translation
1000590,Game Progress,Tiến trình trò chơi
1000831,Action '<EndAction>' & Moment '<EndMoment>',Hành động '<EndAction>' & Khoảnh khắc '<EndMoment>'
1000832,"<Color><name> <idx><opt(u(entity), ' - <color 32 192 32>')> <AnnotatedAutoattachMsg>","<Color><name> <idx><opt(u(entity), ' - <color 32 192 32>')> <AnnotatedAutoattachMsg>"
1000781,"<class><opt(u(RequiredClassesFormatted),' ','')>","<class><opt(u(RequiredClassesFormatted),' ','')>"
1000105,"<id> <color 0 128 0><ValueText><color 128 128 128><opt(u(save_in), ' - ', '')>","<id> <color 0 128 0><ValueText><color 128 128 128><opt(u(save_in), ' - ', '')>"
12322,<textcolor><text></color>,<textcolor><text></color>
1000001,Enter Mod Title,Nhập Tiêu đề Mod
1000002,No name provided,Không có tên được cung cấp
1000591,Error,Lỗi
1000003,Copying <ModLabel> to <u(path)>,Sao chép <ModLabel> sang  <u(path)>
1000004,Confirm Copy,Xác nhận sao chép
1000005,Mod '<u(title)>' files will be copied to <u(path)>,Tệp mod '<u(title)>' sẽ được sao chép vào <u(path)>
1000747,Error creating folder <u(folder)>: <u(err)>,Lỗi khi tạo thư mục <u(folder)>: <u(err)>
1000748,Error copying <u(file)>: <u(err)>,Lỗi khi sao chép <u(file)>: <u(err)>
1000749,Error looking up files of <ModLabel>: <u(err)>,Lỗi khi tìm tệp <ModLabel>: <u(err)>
1000750,Error looking up folders of <ModLabel>: <u(err)>,Lỗi khi tìm thư mục của <ModLabel>
1000745,Error copying <ModLabel>: <err>,Lỗi khi sao chép <ModLabel>: <err>
1000783,This mod is downloaded from Steam and cannot be deleted - go in your Steam client and unsubscribe it from there.,Bản mod này được tải xuống từ Steam và không thể xóa được - hãy truy cập vào ứng dụng Steam của bạn và hủy đăng ký từ đó.
1000007,Are you sure?,Bạn có chắc không?
1000008,Do you want to delete all <ModLabel> files?,Bạn có muốn xóa tất cả tập tin <ModLabel> không?
1000010,Please confirm the deletion of item '<u(name)>'!,Vui lòng xác nhận việc xóa mục '<u(name)>'!
1000753,Failed creating content package file (<err>),Không tạo được tệp gói nội dung (<err>)
1000593,Error,Lỗi
1000013,Mod <ModLabel> was not uploaded! Error: <err>,Mod <ModLabel> chưa được tải lên! Lỗi: <err>
1000014,Mod <ModLabel> was successfully uploaded!,Mod <ModLabel> đã được tải lên thành công!
1000011,There is an active mod upload,Có bản tải lên mod đang hoạt động
1000592,Error,Lỗi
1000784,You need to write something into 'Last Changes' before uploading a mod.,Bạn cần phải viết một cái gì đó vào 'Thay đổi cuối cùng' trước khi tải lên một bản mod.
1000012,Mod <ModLabel> will be uploaded to Steam,Mod <ModLabel> sẽ được tải lên Steam
1000771,Mod <ModLabel> will be uploaded to Paradox,Mod <ModLabel> sẽ được tải lên Paradox
1000009,Confirmation,Xác nhận
1000785,Mod <ModLabel> will be unpublished from Paradox.,Mod <ModLabel> sẽ không được xuất bản từ Paradox.
1000019,Preview image,Hình ảnh xem trước
1000754,Last changes,Thay đổi cuối cùng
1000834,Ignore files,Bỏ qua tệp
12353,Dependencies,Phụ thuộc
1000021,Steam ID,
1000772,Paradox Desktop UUID,
1000773,Paradox All UUID,
12356,Revision,Sửa lại
1000024,Required game version,Phiên bản trò chơi bắt buộc
12144,Saved with game version,Đã lưu với phiên bản trò chơi
1000774,Screenshot,Ảnh chụp màn hình
12357,"<u(title)> (loaded)
id <u(id)>, version <VersionText>",
12358,"<color 128 128 128><u(title)>
id <u(id)>, version <VersionText></color>","<color 128 128 128><u(title)>
id <u(id)>, phiên bản <VersionText></color>"
1000869,Failed to load mod items from <ModLabel>. Error: <u(err)>,Không tải được mục mod từ <ModLabel>. Lỗi: <u(err)>
12359,"<u(title)> (id <u(id)>, version <VersionText>)","<u(title)> (id <u(id)>, phiên bản <VersionText>)"
1000029,Savegame Mod <ModLabel> is present but not loaded,Lưu mod trò chơi <ModLabel> có mặt nhưng không được tải
1000030,Savegame Mod <ModLabel> is loaded with a different version <version>,Lưu mod trò chơi <ModLabel> được tải bằng một phiên bản <version> khác
1000031,Savegame Mod <ModLabel>,Lưu mod trò chơi <ModLabel>
1000032,Savegame references Mod <ModLabel> which is not present,Lưu mod trò chơi tham khảo <ModLabel> không có mặt
12453,Loading mod metadata...,Đang tải siêu dữ liệu của mod...
1000033,Outdated definition for <ModLabel> loaded from <path>. (Unsupported game version),Định nghĩa lỗi thời cho <ModLabel> được tải từ <path>. (Phiên bản trò chơi không được hỗ trợ)
1000034,Mod <ModLabel> ignored because a newer version is already loaded,Mod <ModLabel> bị bỏ qua vì phiên bản mới hơn đã được tải
1000035,Mod <ModLabel> will replace an older version of the same mod,Mod <ModLabel> sẽ thay thế phiên bản cũ hơn của cùng mod
1000870,Failed to load mod metadata from <u(path)>. Error: <u(err)>,Không tải được siêu dữ liệu của mod từ <u(path)>. Error: <u(err)>
12454,Mod <depending_mod> creates circular dependency cylce with <other_mods>.,Mod <depending_mod> tạo ra chu kỳ phụ thuộc vòng tròn với <other_mods>.
12455,Cannot load <depending_mod> because dependency mod <dependency> is not active.,Không thể tải<depending_mod> bởi vì mod phụ thuộc <dependency> không hoạt động.
12456,Cannot load <depending_mod> because dependency mod <dependency> is not compatible.,Không thể tải<depending_mod> bởi vì mod phụ thuộc <dependency> không tương thích.
12457,Cannot load <depending_mod> because dependency mod <title> is not found.,Không thể tải<depending_mod> bởi vì mod phụ thuộc <title> không được tìm thấy.
12458,Loading mod items...,Đang tải mục mod...
1000036,Error loading <u(file)>: <u(err)>,Lỗi khi tải <u(file)>: <u(err)>
1000720,Outdated mod <ModLabel> cannot be loaded. (Unsupported game version),Không thể tải mod <ModLabel> đã lỗi thời. (Phiên bản trò chơi không được hỗ trợ)
1000721,Outdated Mods,Mod lỗi thời
1000722,Certain mods are disabled because they are not supported by the current version of the game.,Một số mod nhất định bị vô hiệu hóa vì chúng không được phiên bản hiện tại của trò chơi hỗ trợ.
1000038,Comment,Bình luận
